Date,Open,High,Low,Close,Adj Close,Volume
2018-06-07,84.78,85.76,84.69,84.95,82.7,7705700
2018-06-08,84.78,85.19,84.14,84.36,82.13,7602400
2018-06-11,84.41,84.54,83.79,84.3,82.07,6252300
2018-06-12,84.32,84.59,83.47,84.1,81.88,8061700
2018-06-13,83.89,84.37,83.85,84.09,81.87,6358400
2018-06-14,84.22,84.81,83.67,83.79,81.57,7517400
2018-06-15,83.5,83.99,83.06,83.7,81.49,12503000
2018-06-18,83.05,83.57,82.82,83.0,80.8,8502300
2018-06-19,82.6,83.62,82.37,83.61,81.4,9352500
2018-06-20,83.71,83.82,83.16,83.61,81.4,7966600
2018-06-21,83.4,84.55,82.9,84.21,81.98,8092000
2018-06-22,84.46,84.85,84.1,84.82,82.58,10813000
2018-06-25,84.59,86.6,84.48,86.47,84.18,15939500
2018-06-26,86.53,87.05,85.76,85.98,83.71,10126200
2018-06-27,85.9,87.49,85.55,86.89,84.59,10299700
2018-06-28,86.85,87.29,85.69,85.86,83.59,8467000
2018-06-29,85.9,86.2,85.52,85.65,83.38,8255600
2018-07-02,85.65,85.94,83.4,84.0,81.78,8125100
2018-07-03,84.09,85.05,84.09,84.44,82.21,4396200
2018-07-05,84.94,85.58,84.27,84.57,82.33,5367500
2018-07-06,84.2,84.87,83.82,84.51,82.27,5613700
2018-07-09,85.0,86.47,84.77,85.93,83.66,6575400
2018-07-10,85.93,87.33,85.88,87.21,84.9,6048400
2018-07-11,87.06,87.15,86.39,86.53,84.24,5595900
2018-07-12,86.94,87.41,86.22,86.52,84.23,4888600
2018-07-13,86.52,87.99,86.5,87.7,85.38,6388600
2018-07-16,87.62,87.72,86.83,87.64,85.32,4447200
2018-07-17,87.4,88.7,87.4,88.19,85.86,5911500
2018-07-18,88.33,89.19,87.94,88.07,85.74,5045500
2018-07-19,87.86,88.48,87.41,87.72,85.4,4883100
2018-07-20,87.4,88.17,87.2,88.06,85.73,4815100
2018-07-23,87.65,88.15,87.38,87.63,85.31,4150000
2018-07-24,88.12,88.5,87.61,87.96,85.63,5589500
2018-07-25,87.27,88.02,87.11,87.9,85.57,5809100
2018-07-26,88.5,89.43,88.18,88.23,85.9,6548300
2018-07-27,88.64,88.88,88.03,88.13,85.8,4679400
2018-07-30,88.0,88.94,87.89,88.88,86.53,6010700
2018-07-31,89.0,89.66,88.8,89.23,86.87,6708100
2018-08-01,88.86,89.13,87.88,88.24,85.91,5050000
2018-08-02,87.94,88.84,87.62,88.76,86.41,4306100
2018-08-03,89.19,90.28,89.0,89.6,87.23,5747200
2018-08-06,89.31,89.98,89.13,89.67,87.3,4651600
2018-08-07,89.83,90.36,89.65,89.77,87.4,4526700
2018-08-08,89.97,90.23,89.37,90.05,87.67,5041100
2018-08-09,89.46,89.63,88.76,89.01,87.16,4727900
2018-08-10,88.7,90.37,88.65,90.18,88.3,8244900
2018-08-13,90.2,90.54,89.37,89.64,87.78,5879200
2018-08-14,89.64,91.12,89.63,90.85,88.96,5836800
2018-08-15,90.25,90.41,89.67,90.22,88.34,8616900
2018-08-16,100.11,100.21,97.91,98.64,96.59,42631300
2018-08-17,97.77,99.67,97.61,97.85,95.81,16463300
2018-08-20,97.67,98.29,95.95,96.0,94.0,12679300
2018-08-21,95.96,96.36,95.36,96.08,94.08,10531300
2018-08-22,96.2,96.85,95.23,95.67,93.68,7765700
2018-08-23,95.5,95.86,95.06,95.18,93.2,6096400
2018-08-24,95.09,95.66,94.35,94.95,92.98,8594300
2018-08-27,95.26,95.61,94.29,94.54,92.57,7040300
2018-08-28,94.77,96.35,94.53,96.07,94.07,9983000
2018-08-29,96.28,96.83,95.53,95.64,93.65,7862800
2018-08-30,95.5,96.5,95.45,96.1,94.1,7058700
2018-08-31,96.19,96.44,95.11,95.86,93.87,6324700
2018-09-04,95.8,96.27,95.24,95.36,93.38,8280700
2018-09-05,95.67,96.83,95.36,96.62,94.61,9474600
2018-09-06,96.53,96.72,96.01,96.45,94.44,6150800
2018-09-07,95.8,96.48,95.64,95.83,93.84,6672400
2018-09-10,96.11,97.19,96.09,96.9,94.88,8332600
2018-09-11,97.27,97.66,96.49,96.64,94.63,6463500
2018-09-12,96.26,96.74,95.93,95.97,93.97,5900000
2018-09-13,95.32,95.62,94.91,95.12,93.14,7652900
2018-09-14,94.53,94.84,94.35,94.59,92.62,6319400
2018-09-17,94.75,95.48,94.37,94.82,92.85,5329800
2018-09-18,94.46,95.59,94.15,95.43,93.45,6759800
2018-09-19,95.57,95.89,94.88,95.24,93.26,5675100
2018-09-20,95.35,95.79,94.95,95.75,93.76,5552300
2018-09-21,95.92,96.29,95.63,95.9,93.91,9530100
2018-09-24,95.44,96.0,94.86,94.92,92.95,5337000
2018-09-25,95.99,96.52,94.99,95.1,93.12,6193200
2018-09-26,95.1,95.59,94.52,94.59,92.62,5918600
2018-09-27,94.19,94.96,93.82,94.13,92.17,5363400
2018-09-28,94.28,94.37,93.69,93.91,91.96,6306300
2018-10-01,94.29,94.66,94.04,94.4,92.44,4994300
2018-10-02,93.93,95.61,93.85,95.15,93.17,7754600
2018-10-03,95.5,95.54,94.04,94.07,92.11,6327400
2018-10-04,94.07,94.5,93.2,94.21,92.25,6045300
2018-10-05,93.86,94.19,92.89,93.31,91.37,6693400
2018-10-08,93.25,94.93,93.02,94.69,92.72,5762600
2018-10-09,95.64,97.74,95.19,97.08,95.06,11598900
2018-10-10,96.6,97.85,95.7,95.76,93.77,9002800
2018-10-11,95.81,96.29,93.6,93.92,91.97,9926500
2018-10-12,94.76,95.17,93.67,94.81,92.84,8553900
